Gene	Silent	Nonsense	Frameshift	LOF	Splice	Missense.Benign	Missense.Damaging	Missense.total	Benign	LOF.TO.Benign.Ratio	Splice.TO.Benign.Ratio	Missense.Damaging.TO.Benign.Ratio	Entropy.Score
	21	2	0	2	2	45	8	29	66	0.032258064516129	0.030791788856305	0.129032258064516	0
?	0	0	0	0	0	3	0	3	3	0	0	0	0
A1BG	9	2	2	4	1	20	10	17	29	0.134615384615385	0.0352564102564103	0.346153846153846	0.03793
A1CF	14	5	1	6	4	44	18	39	58	0.102990033222591	0.0681063122923588	0.312292358803987	0.026595
A2M	44	7	1	8	7	92	46	82	136	0.0593342981186686	0.0513748191027496	0.338639652677279	0.031831
A2ML1	42	7	4	11	5	101	35	79	143	0.0771349862258953	0.0351239669421488	0.246556473829201	0.028981
A4GALT	8	1	0	1	0	13	4	7	21	0.0517241379310345	0	0.206896551724138	0
A4GNT	17	3	1	4	0	31	15	27	48	0.0836653386454183	0	0.314741035856574	0.014098
AAAS	11	2	1	3	1	22	10	17	33	0.0909090909090909	0.03125	0.306818181818182	0.020922
AACS	9	1	1	2	1	20	12	20	29	0.0705128205128205	0.0352564102564103	0.41025641025641	0
AADAC	11	2	2	4	1	29	9	20	40	0.0995260663507109	0.0260663507109005	0.232227488151659	0
AADACL2	5	0	1	1	2	19	9	23	24	0.0458015267175573	0.0801526717557252	0.374045801526718	0
AADACL3	8	4	4	8	0	25	11	20	33	0.232954545454545	0	0.335227272727273	0
AADACL4	10	1	0	1	1	23	15	27	33	0.0340909090909091	0.03125	0.448863636363636	0.025727
AADAT	6	0	0	0	3	11	6	8	17	0	0.161458333333333	0.354166666666667	0.039755
AAED1	1	1	0	1	1	3	3	3	4	0.193548387096774	0.17741935483871	0.612903225806452	0
AAGAB	0	0	0	0	0	1	8	10	1	0	0	2.75	0.033269
AAK1	10	0	2	2	2	18	15	20	28	0.0728476821192053	0.0695364238410596	0.52317880794702	0.018021
AAMDC	3	0	0	0	0	4	3	4	7	0	0	0.41304347826087	0
AAMP	3	2	2	4	1	11	3	7	14	0.259259259259259	0.0679012345679012	0.234567901234568	0
AANAT	1	0	0	0	0	2	3	4	3	0	0	0.730769230769231	0
AAR2	6	0	0	0	0	13	7	12	19	0	0	0.367924528301887	0
AARD	4	1	0	1	1	8	1	4	12	0.0845070422535211	0.0774647887323944	0.126760563380282	0
AARS	7	1	2	3	0	18	17	28	25	0.117647058823529	0	0.654411764705882	0
AARS2	15	2	1	3	3	29	23	33	44	0.0692640692640693	0.0670995670995671	0.515151515151515	0.011237
AARSD1	5	2	1	3	0	12	13	20	17	0.166666666666667	0	0.71875	0.018021
AASDH	19	8	2	10	3	49	20	36	68	0.145299145299145	0.0441595441595442	0.296296296296296	0.028513
AASDHPPT	6	4	0	4	1	21	8	18	27	0.143835616438356	0.0376712328767123	0.301369863013699	0
AASS	19	2	1	3	3	38	29	45	57	0.0540540540540541	0.0523648648648649	0.503378378378378	0.016151
AATF	3	1	0	1	1	13	4	13	16	0.0659340659340659	0.0604395604395604	0.263736263736264	0
AATK	8	1	0	1	1	25	5	22	33	0.0340909090909091	0.03125	0.164772727272727	0.066221
ABAT	11	3	0	3	2	29	15	30	40	0.0758293838862559	0.0497630331753555	0.374407582938389	0
ABCA1	29	6	3	9	9	91	35	83	120	0.0752864157119476	0.074468085106383	0.292962356792144	0.017417
ABCA10	21	12	4	16	8	74	32	70	95	0.166666666666667	0.0833333333333333	0.337448559670782	0.005492
ABCA11P	1	0	0	0	0	5	1	6	6	0	0	0.219512195121951	0
ABCA12	54	13	4	17	11	152	70	156	206	0.0826128722382325	0.053314121037464	0.340057636887608	0.01965
ABCA13	105	24	5	29	4	285	136	303	390	0.0744518103008669	0.0104538500764916	0.3488016318205	0.02397
ABCA2	35	0	3	3	5	64	40	63	99	0.0316205533596838	0.050395256916996	0.403162055335968	0.011929
ABCA3	44	5	1	6	6	80	34	63	124	0.0491283676703645	0.0483359746434231	0.275752773375594	0.017224
ABCA4	57	8	0	8	2	125	42	109	182	0.0445168295331162	0.011400651465798	0.232356134636265	0.010246
ABCA5	16	5	2	7	1	45	39	67	61	0.113924050632911	0.0174050632911392	0.629746835443038	0.016263
ABCA6	23	2	2	4	6	61	45	74	84	0.0487238979118329	0.0707656612529002	0.531322505800464	0.014816
ABCA7	33	4	2	6	6	72	27	54	105	0.0578358208955224	0.0569029850746269	0.259328358208955	0.013604
ABCA8	34	3	5	8	7	84	35	75	118	0.0682196339434276	0.0590682196339434	0.29783693843594	0.019127
ABCA9	22	8	2	10	4	64	29	69	86	0.115646258503401	0.046485260770975	0.337868480725624	0.018352
ABCB1	35	11	1	12	9	92	81	123	127	0.0944272445820434	0.0704334365325077	0.63312693498452	0.063749
ABCB10	5	1	1	2	1	22	16	29	27	0.0753424657534247	0.0376712328767123	0.575342465753425	0.03421
ABCB11	22	5	2	7	2	56	40	66	78	0.0897755610972569	0.0261845386533666	0.508728179551122	0.005737
ABCB4	28	4	5	9	3	70	42	75	98	0.091816367265469	0.030938123752495	0.427145708582834	0.005061
ABCB5	35	7	4	11	13	84	56	86	119	0.0924092409240924	0.108085808580858	0.468646864686469	0.050655
ABCB6	13	5	1	6	0	30	17	29	43	0.13716814159292	0	0.393805309734513	0
ABCB7	8	1	0	1	3	19	21	29	27	0.0410958904109589	0.106164383561644	0.746575342465754	0
ABCB8	7	2	0	2	3	28	13	32	35	0.0591397849462366	0.0833333333333333	0.370967741935484	0.012712
ABCB9	6	1	2	3	1	19	15	25	25	0.117647058823529	0.0404411764705882	0.580882352941177	0
ABCC1	43	4	1	5	2	66	33	53	109	0.0467625899280576	0.0188848920863309	0.303956834532374	0.013847
ABCC10	31	1	1	2	2	57	25	55	88	0.024390243902439	0.0232815964523282	0.286031042128603	0.034827
ABCC11	39	5	2	7	2	80	33	66	119	0.0594059405940594	0.0173267326732673	0.278877887788779	0.034645
ABCC12	28	4	0	4	7	76	41	86	104	0.0395480225988701	0.0668549905838041	0.393596986817326	0.056739
ABCC13	1	0	0	0	0	2	0	0	3	0	0	0	0
ABCC2	21	0	3	3	5	48	31	49	69	0.0449438202247191	0.0716292134831461	0.446629213483146	0.007672
ABCC3	20	2	3	5	4	49	40	57	69	0.0730337078651685	0.0575842696629213	0.573033707865168	0.012924
ABCC4	14	0	2	2	4	43	18	46	57	0.0371621621621622	0.0692567567567567	0.317567567567568	0.015822
ABCC5	22	4	0	4	1	65	27	68	87	0.047085201793722	0.0123318385650224	0.311659192825112	0.005653
ABCC6	19	3	1	4	0	38	19	34	57	0.0709459459459459	0	0.334459459459459	0.020922
ABCC8	41	5	3	8	6	87	33	70	128	0.0629800307219662	0.0468509984639017	0.259600614439324	0.020376
ABCC9	49	6	5	11	11	135	62	138	184	0.0601503759398496	0.0596133190118153	0.337271750805585	0.051842
ABCD1	8	3	0	3	1	20	13	24	28	0.105960264900662	0.0364238410596027	0.456953642384106	0.015203
ABCD2	5	4	1	5	1	33	33	56	38	0.129353233830846	0.027363184079602	0.840796019900497	0.034257
ABCD3	5	2	0	2	2	21	18	30	26	0.0780141843971631	0.074468085106383	0.666666666666667	0
ABCD4	9	3	1	4	2	24	11	20	33	0.119318181818182	0.0596590909090909	0.335227272727273	0
ABCE1	2	0	0	0	2	9	9	15	11	0	0.159090909090909	0.742424242424243	0
ABCF1	10	0	2	2	3	26	21	34	36	0.0575916230366492	0.081151832460733	0.570680628272251	0
ABCF2	7	4	2	6	0	21	11	23	28	0.205298013245033	0	0.390728476821192	0.016493
ABCF3	13	2	0	2	2	34	19	36	47	0.0447154471544715	0.0426829268292683	0.402439024390244	0.010337
ABCG1	12	4	0	4	3	30	23	35	42	0.0950226244343891	0.0701357466063348	0.538461538461538	0.010621
ABCG2	11	3	0	3	3	31	14	27	42	0.0723981900452489	0.0701357466063348	0.334841628959276	0
ABCG4	24	0	0	0	3	36	26	38	60	0	0.0498392282958199	0.430868167202572	0.040976
ABCG5	19	2	2	4	2	34	15	27	53	0.0760869565217391	0.0380434782608696	0.286231884057971	0
ABCG8	20	5	0	5	4	48	26	49	68	0.0740740740740741	0.0584045584045584	0.381766381766382	0.021696
ABHD1	4	1	0	1	0	6	7	8	10	0.0983606557377049	0	0.639344262295082	0
ABHD10	1	0	2	2	1	7	8	13	8	0.215686274509804	0.107843137254902	0.862745098039216	0
ABHD11	7	0	0	0	1	13	1	7	20	0	0.0495495495495496	0.0810810810810811	0
ABHD12	5	0	0	0	1	10	4	8	15	0	0.063953488372093	0.27906976744186	0
ABHD12B	3	0	0	0	1	13	1	10	16	0	0.0604395604395604	0.0989010989010989	0
ABHD13	3	2	1	3	0	12	8	14	15	0.186046511627907	0	0.511627906976744	0
ABHD14A	3	0	0	0	0	3	3	3	6	0	0	0.463414634146341	0
ABHD14A-ACY1	3	1	2	3	1	10	4	8	13	0.210526315789474	0.0723684210526316	0.315789473684211	0.039755
ABHD14B	2	0	2	2	0	5	2	3	7	0.239130434782609	0	0.304347826086957	0
