Gene	Silent	Nonsense	Frameshift	LOF	Splice	Missense.Benign	Missense.Damaging	Missense.total	Benign	LOF.TO.Benign.Ratio	Splice.TO.Benign.Ratio	Missense.Damaging.TO.Benign.Ratio	Entropy.Score
A1BG	0	0	0	0	0	6	0	0	6	0	0	0	0.03793
A1CF	1	0	0	0	0	18	2	4	19	0	0	0.107692307692308	0.026595
A2BP1	3	0	0	0	0	24	3	3	27	0	0	0.112727272727273	0
A2M	6	0	0	0	1	17	4	9	23	0	0.0425531914893617	0.174468085106383	0.031831
A2ML1	6	0	0	0	0	40	5	10	46	0	0	0.109677419354839	0.028981
A4GNT	0	0	0	0	0	2	3	5	2	0	0	1.24	0.014098
AAAS	1	0	0	0	0	8	1	1	9	0	0	0.115789473684211	0.020922
AACS	0	1	0	1	0	11	0	0	11	0.0869565217391304	0	0	0
AADAC	0	0	0	0	0	2	2	3	2	0	0	0.84	0
AADACL2	1	0	0	0	0	4	3	5	5	0	0	0.563636363636364	0
AADACL3	1	0	0	0	0	6	0	1	7	0	0	0	0
AADACL4	0	0	0	0	0	4	1	2	4	0	0	0.244444444444444	0.025727
AADAT	1	0	0	0	0	2	1	1	3	0	0	0.314285714285714	0.039755
AAGAB	0	0	0	0	0	2	1	1	2	0	0	0.44	0.033269
AAK1	0	0	0	0	0	4	2	2	4	0	0	0.466666666666667	0.018021
AAMP	0	0	0	0	0	3	0	0	3	0	0	0	0
AANAT	0	0	0	0	0	1	0	0	1	0	0	0	0
AARS	1	0	0	0	0	9	1	2	10	0	0	0.104761904761905	0
AARS2	1	0	0	0	0	6	6	6	7	0	0	0.813333333333333	0.011237
AARSD1	1	0	0	0	0	4	2	3	5	0	0	0.381818181818182	0.018021
AASDH	2	1	0	1	0	13	1	6	15	0.0645161290322581	0	0.0709677419354839	0.028513
AASDHPPT	2	1	0	1	0	5	0	0	7	0.133333333333333	0	0	0
AASS	2	1	0	1	0	17	9	10	19	0.0512820512820513	0	0.466666666666667	0.016151
AATF	1	0	0	0	0	9	0	1	10	0	0	0	0
AATK	0	0	0	0	0	4	3	4	4	0	0	0.688888888888889	0.066221
ABAT	1	1	0	1	1	11	2	2	12	0.08	0.08	0.168	0
ABCA1	6	3	0	3	0	26	4	7	32	0.0923076923076923	0	0.126153846153846	0.017417
ABCA10	3	0	0	0	1	21	3	8	24	0	0.0408163265306122	0.126530612244898	0.005492
ABCA12	5	0	0	0	0	31	3	8	36	0	0	0.0849315068493151	0.01965
ABCA13	9	2	0	2	2	49	15	32	58	0.0341880341880342	0.0341880341880342	0.258119658119658	0.02397
ABCA2	3	0	0	0	0	18	4	9	21	0	0	0.190697674418605	0.011929
ABCA3	7	1	0	1	0	21	1	3	28	0.0350877192982456	0	0.0385964912280702	0.017224
ABCA4	5	1	0	1	1	30	6	11	35	0.028169014084507	0.028169014084507	0.171830985915493	0.010246
ABCA5	0	1	0	1	0	6	2	4	6	0.153846153846154	0	0.323076923076923	0.016263
ABCA6	0	0	0	0	1	26	4	7	26	0	0.0377358490566038	0.154716981132075	0.014816
ABCA7	7	0	0	0	0	13	0	2	20	0	0	0	0.013604
ABCA8	1	1	0	1	0	21	1	5	22	0.0444444444444444	0	0.0488888888888889	0.019127
ABCA9	2	1	1	2	0	32	4	11	34	0.0579710144927536	0	0.118840579710145	0.018352
ABCB1	1	2	0	2	1	37	12	16	38	0.051948051948052	0.025974025974026	0.314285714285714	0.063749
ABCB10	2	0	0	0	0	10	4	6	12	0	0	0.328	0.03421
ABCB11	1	0	0	0	1	17	4	6	18	0	0.0540540540540541	0.221621621621622	0.005737
ABCB4	4	0	0	0	0	19	5	9	23	0	0	0.217021276595745	0.005061
ABCB5	3	2	0	2	0	30	6	11	33	0.0597014925373134	0	0.182089552238806	0.050655
ABCB6	1	0	0	0	0	4	2	3	5	0	0	0.381818181818182	0
ABCB7	0	0	0	0	0	6	2	2	6	0	0	0.323076923076923	0
ABCB8	0	0	0	0	0	9	0	1	9	0	0	0	0.012712
ABCB9	0	0	0	0	0	3	1	3	3	0	0	0.314285714285714	0
ABCC1	4	0	0	0	0	16	2	5	20	0	0	0.102439024390244	0.013847
ABCC10	5	0	0	0	1	10	3	7	15	0	0.0645161290322581	0.2	0.034827
ABCC11	4	1	0	1	0	22	3	5	26	0.0377358490566038	0	0.116981132075472	0.034645
ABCC12	1	1	0	1	0	29	9	14	30	0.0327868852459016	0	0.298360655737705	0.056739
ABCC2	0	0	0	0	1	15	4	5	15	0	0.0645161290322581	0.264516129032258	0.007672
ABCC3	0	0	0	0	0	5	1	2	5	0	0	0.2	0.012924
ABCC4	0	0	0	0	0	9	1	2	9	0	0	0.115789473684211	0.015822
ABCC5	3	0	0	0	0	23	4	9	26	0	0	0.154716981132075	0.005653
ABCC6	2	0	0	0	0	6	2	2	8	0	0	0.247058823529412	0.020922
ABCC8	7	1	0	1	1	32	2	4	39	0.0253164556962025	0.0253164556962025	0.0531645569620253	0.020376
ABCC9	3	1	0	1	0	36	7	10	39	0.0253164556962025	0	0.179746835443038	0.051842
ABCD1	0	0	0	0	0	2	2	3	2	0	0	0.84	0.015203
ABCD2	0	1	0	1	0	10	5	11	10	0.0952380952380952	0	0.485714285714286	0.034257
ABCD3	1	0	0	0	0	3	0	0	4	0	0	0	0
ABCD4	1	0	0	0	0	12	0	1	13	0	0	0	0
ABCE1	0	0	0	0	0	3	0	1	3	0	0	0	0
ABCF1	0	0	0	0	0	2	1	2	2	0	0	0.44	0
ABCF2	2	1	0	1	0	8	3	5	10	0.0952380952380952	0	0.295238095238095	0.016493
ABCF3	2	1	0	1	2	21	5	8	23	0.0425531914893617	0.0851063829787234	0.217021276595745	0.010337
ABCG1	0	0	0	0	0	4	1	1	4	0	0	0.244444444444444	0.010621
ABCG2	1	0	0	0	0	3	2	2	4	0	0	0.466666666666667	0
ABCG4	6	0	0	0	0	12	2	4	18	0	0	0.113513513513514	0.040976
ABCG5	1	0	0	0	0	4	0	2	5	0	0	0	0
ABCG8	1	0	0	0	0	6	5	9	7	0	0	0.68	0.021696
ABHD1	1	0	0	0	0	3	0	0	4	0	0	0	0
ABHD10	0	0	0	0	0	1	2	3	1	0	0	1.4	0
ABHD11	0	0	0	0	0	1	0	0	1	0	0	0	0
ABHD12	1	0	0	0	0	4	0	0	5	0	0	0	0
ABHD12B	0	0	0	0	0	5	0	1	5	0	0	0	0
ABHD13	1	0	0	0	0	2	1	2	3	0	0	0.314285714285714	0
ABHD15	0	0	0	0	0	2	0	0	2	0	0	0	0.019858
ABHD2	0	0	0	0	0	8	0	0	8	0	0	0	0.018896
ABHD3	0	0	0	0	0	4	0	1	4	0	0	0	0.03625
ABHD4	0	1	0	1	0	7	0	0	7	0.133333333333333	0	0	0
ABHD5	0	0	0	0	0	3	1	1	3	0	0	0.314285714285714	0
ABHD6	0	0	0	0	0	1	1	1	1	0	0	0.733333333333333	0
ABHD8	2	0	0	0	0	2	0	0	4	0	0	0	0.024913
ABI1	0	0	0	0	1	2	1	2	2	0	0.4	0.44	0
ABI2	0	0	0	0	0	2	0	0	2	0	0	0	0
ABI3	0	0	0	0	0	3	0	0	3	0	0	0	0
ABI3BP	1	3	0	3	1	23	4	7	24	0.122448979591837	0.0408163265306122	0.16734693877551	0.026595
ABL1	3	1	0	1	0	7	2	2	10	0.0952380952380952	0	0.2	0.007523
ABL2	0	2	1	3	0	21	4	5	21	0.13953488372093	0	0.190697674418605	0.00698
ABLIM1	2	0	0	0	0	12	1	2	14	0	0	0.0758620689655173	0.013604
ABLIM2	2	0	0	0	0	10	1	2	12	0	0	0.088	0
ABLIM3	1	0	0	0	0	16	1	4	17	0	0	0.0628571428571429	0.032375
ABO	0	0	0	0	0	1	1	1	1	0	0	0.733333333333333	0
ABP1	3	0	0	0	0	7	5	6	10	0	0	0.485714285714286	0
ABR	2	0	0	0	0	9	3	5	11	0	0	0.269565217391304	0
