Gene	Silent	Nonsense	Frameshift	LOF	Splice	Missense.Benign	Missense.Damaging	Missense.total	Benign	LOF.TO.Benign.Ratio	Splice.TO.Benign.Ratio	Missense.Damaging.TO.Benign.Ratio	Entropy.Score
A1BG	11	2	2	4	1	24	13	22	35	0.110539845758355	0.025706940874036	0.367609254498715	0.03793
A1CF	22	8	1	9	1	83	21	76	105	0.0853994490358127	0.00918273645546373	0.204775022956841	0.026595
A2M	73	11	0	11	3	146	67	133	219	0.050695379093764	0.0134589502018843	0.306415432929565	0.031831
A2ML1	64	10	2	12	5	166	47	136	230	0.0525865754595981	0.0213766566908935	0.206498503634032	0.028981
A4GALT	12	2	1	3	0	23	12	23	35	0.0848329048843188	0	0.341902313624679	0
A4GNT	17	1	1	2	0	30	23	35	47	0.0451866404715128	0	0.477406679764244	0.014098
AAAS	16	3	1	4	1	34	22	35	50	0.0797773654916512	0.0185528756957328	0.432282003710575	0.020922
AACS	17	2	2	4	3	45	21	43	62	0.0652503793626707	0.0455235204855842	0.338391502276176	0
AADAC	19	2	2	4	1	43	22	43	62	0.0652503793626707	0.0151745068285281	0.353566009104704	0
AADACL2	6	4	1	5	1	37	25	55	43	0.113006396588486	0.0213219616204691	0.560767590618337	0
AADACL3	15	5	5	10	0	43	18	35	58	0.166397415185784	0	0.311793214862682	0
AADACL4	20	2	0	2	0	45	21	45	65	0.0333817126269956	0	0.323657474600871	0.025727
AADAT	8	0	0	0	2	22	13	27	30	0	0.0589970501474926	0.421828908554572	0.039755
AAED1	2	2	0	2	1	6	2	3	8	0.19327731092437	0.0840336134453781	0.277310924369748	0
AAGAB	6	1	0	1	1	10	10	13	16	0.0653266331658292	0.050251256281407	0.5678391959799	0.033269
AAK1	16	0	1	1	1	36	28	45	52	0.0232558139534884	0.0178890876565295	0.524150268336315	0.018021
AAMDC	4	0	0	0	0	4	4	4	8	0	0	0.445378151260504	0
AAMP	6	2	5	7	0	24	6	18	30	0.215339233038348	0	0.215339233038348	0
AANAT	4	1	0	1	0	7	5	7	11	0.087248322147651	0	0.422818791946309	0
AAR2	10	0	0	0	1	21	11	20	31	0	0.0286532951289398	0.35243553008596	0
AARD	8	1	0	1	1	17	5	13	25	0.0449826989619377	0.0346020761245675	0.217993079584775	0
AARS	17	2	2	4	1	34	30	46	51	0.0783242258652095	0.0182149362477231	0.570127504553734	0
AARS2	19	3	1	4	4	45	32	55	64	0.0633284241531664	0.0589101620029455	0.490427098674521	0.011237
AARSD1	8	3	1	4	0	19	18	26	27	0.13915857605178	0	0.624595469255663	0.018021
AASDH	29	9	4	13	3	70	33	60	99	0.129251700680272	0.0291545189504373	0.333333333333333	0.028513
AASDHPPT	12	6	0	6	0	31	13	26	43	0.134328358208955	0	0.304904051172708	0
AASS	28	8	5	13	1	69	44	74	97	0.13181367690783	0.00991080277502478	0.448959365708622	0.016151
AATF	8	2	0	2	0	25	8	24	33	0.0623306233062331	0	0.252032520325203	0
AATK	13	1	0	1	1	34	15	36	47	0.0255402750491159	0.0196463654223969	0.320235756385069	0.066221
ABAT	14	3	0	3	2	41	27	51	55	0.0560271646859083	0.033955857385399	0.480475382003396	0
ABCA1	41	13	4	17	5	157	63	164	198	0.0856859831599802	0.0247647350173353	0.318474492322932	0.017417
ABCA10	41	20	6	26	5	124	59	120	165	0.155713439905269	0.029603315571344	0.357015985790408	0.005492
